sample,reach,latitude,longitude,zone,easting,northing,triplicate,A/B,A/C,B/C,Mean,Mean2,St. Err.,St. Dev.,Count,Sign.,95% Conf.
,MC_RC01,52.55339273,-128.1631585,,,,MC Non-Trips,,,,,22.713,,,,,
MC_12,MC_RC02,52.21892346,-127.7067897,9,588344,5786176,MC Trip 1,261.83,254.36,262.14,259.44,129.72,2.54,4.4,3,0.05,4.98
MC_12,MC_RC02,52.21892346,-127.7067897,,,,MC Trip 1,,,,,129.72,,,,,
MC_17,MC_RC03,52.22539919,-127.7127361,9,587925,5786889,MC Trip 2,264.42,254.57,243.96,254.32,127.16,5.91,10.23,3,0.05,11.58
MC_17,MC_RC03,52.22539919,-127.7127361,,,,MC Trip 2,,,,,127.16,,,,,
,MC_RC05,52.34780172,-126.8111684,,,,MC Non-Trips,,,,,22.713,,,,,
,MC_RC06,52.33335383,-126.8215111,,,,MC Non-Trips,,,,,22.713,,,,,
,MC_RC07,52.44282368,-126.5444697,,,,MC Non-Trips,,,,,22.713,,,,,
,MC_RC10,51.89840887,-127.5030081,,,,MC Non-Trips,,,,,22.713,,,,,
MC_45,MC_RC12,51.85401751,-127.6843893,9,590609,5745620,MC Trip 3,114.64,165.99,159.2,146.61,73.305,16.11,27.89,3,0.05,31.57
MC_45,MC_RC12,51.85401751,-127.6843893,,,,MC Trip 3,,,,,73.305,,,,,
,MC_RC17,52.38739651,-126.5286182,,,,MC Non-Trips,,,,,22.713,,,,,
,MC_RC18,52.30888586,-126.4194982,,,,MC Non-Trips,,,,,22.713,,,,,
,MC_RC19,52.45381981,-126.5565457,,,,MC Non-Trips,,,,,22.713,,,,,
,MC_RC20,52.39104548,-126.5139511,,,,MC Non-Trips,,,,,22.713,,,,,
mc_mean,,,,,,,,,,,227.13,,0.98,30.11,946,0.05,1.92
SC_03,SC_RC01,49.19656102,-122.1600399,10,561194.36,5449646.46,SC Trip 1,233,263.06,217.69,237.91,118.955,13.32,23.08,3,0.05,26.12
SC_03,SC_RC01,49.19656102,-122.1600399,,,,SC Trip 1,,,,,118.955,,,,,
SC_06,SC_RC02,49.29698399,-122.23315,10,555754.86,5460753.8,SC Trip 2,268.15,157.61,248.52,224.76,112.38,34.05,58.98,3,0.05,66.74
SC_06,SC_RC02,49.29698399,-122.23315,,,,SC Trip 2,,,,,112.38,,,,,
SC_16,SC_RC03,49.11316397,-122.1774661,10,560025.5,5440361.55,SC Trip 3,284.41,295.53,218.3,266.08,133.04,24.1,41.75,3,0.05,47.24
SC_16,SC_RC03,49.11316397,-122.1774661,,,,SC Trip 3,,,,,133.04,,,,,
,SC_RC04,49.07578398,-121.73195,,,,SC Non-Trips,,,,,93.85,,,,,
,SC_RC05,49.10075515,-121.4602356,,,,SC Non-Trips,,,,,93.85,,,,,
,SC_RC06,49.32273396,-122.466047,,,,SC Non-Trips,,,,,93.85,,,,,
,SC_RC07,49.36155852,-121.9264435,,,,SC Non-Trips,,,,,93.85,,,,,
,SC_RC08,49.29423541,-121.6203485,,,,SC Non-Trips,,,,,93.85,,,,,
,SC_RC09,49.33093909,-121.5550039,,,,SC Non-Trips,,,,,93.85,,,,,
,SC_RC11,49.01163686,-121.7820261,,,,SC Non-Trips,,,,,93.85,,,,,
,SC_RC13,49.78948376,-122.2608976,,,,SC Non-Trips,,,,,93.85,,,,,
,SC_RC14,49.72489709,-122.1785894,,,,SC Non-Trips,,,,,93.85,,,,,
sc_mean,,,,,,,,,,,844.65,,3.93,109.76,780,0.05,7.7
